Group,Age,Page,Region,Parent,Family,Edu,Sex,Job,School,Play,Lesson,sleep,Beh,Hyp,Emo,Peer,Pro
1,5,44,33,2,3,3,2,5,5,0.5,0.214285714,10,3,3,1,1,4
1,5,43,13,2,4,3,1,0,5,0.035714286,0,10,1,2,0,1,5
1,5,52,25,1,3,4,1,5,5,0.107142857,0.5,11,2,4,0,2,6
1,9,40,21,2,4,2,1,5,5,0.5,0.214285714,9,1,2,0,2,5
1,9,34,13,2,4,4,1,5,5,0.214285714,0.5,10,1,2,0,3,5
1,6,26,28,2,9,2,2,0,5,0.5,0,9.5,1,6,0,2,7
1,4,39,14,2,4,2,1,0,5,1,0,10,4,7,1,2,2
1,7,42,13,2,4,2,2,0,5,0.035714286,0.214285714,10,6,8,5,4,2
1,8,39,23,2,3,4,1,5,5,1,0.035714286,9.5,1,0,0,1,10
1,7,38,4,2,4,3,1,5,5,0.214285714,0.214285714,8.5,4,5,4,4,4
1,6,37,23,2,4,4,1,0,5,0.5,0,9,2,4,3,0,2
1,7,40,27,2,4,4,1,0,5,1,0.214285714,10,1,0,0,2,10
1,8,42,11,2,3,5,2,0,5,0.107142857,0.035714286,8.5,4,5,0,3,2
1,7,40,1,2,4,3,2,5,5,0.214285714,0.214285714,9.5,2,4,0,1,4
1,8,46,37,1,4,4,2,5,5,0.071428571,0.428571429,7.5,3,7,3,5,2
1,6,36,14,2,4,4,1,5,5,1,2,10,0,2,1,1,10
1,6,38,19,2,4,3,2,5,5,0.035714286,0.214285714,9,3,5,7,0,8
1,5,45,29,2,4,3,2,0,5,0.107142857,0.214285714,9,0,0,0,1,10
1,8,61,14,1,4,4,2,5,5,0.214285714,0.107142857,9,3,8,0,2,5
1,6,67,26,2,6,2,1,5,5,1.5,0.214285714,9.5,1,4,0,1,3
1,5,45,12,2,5,4,1,5,5,1,0,9,1,5,0,3,5
1,9,42,33,2,5,3,2,5,5,0.035714286,0,7,3,1,0,1,7
1,4,28,26,2,4,3,2,5,5,2,0,10.5,0,2,3,3,6
1,5,43,34,2,3,2,1,5,5,0.035714286,0,9.5,4,2,2,4,3
1,4,43,22,2,4,4,1,5,5,0.5,0,9.5,2,2,0,2,3
1,5,45,27,2,5,2,2,0,5,1,0,9,1,3,1,2,7
1,9,46,6,2,5,4,2,0,5,0.214285714,1,9,2,1,0,2,3
1,5,35,27,2,6,4,1,5,5,3,0.214285714,10,1,2,0,2,4
1,8,33,29,2,5,4,1,0,5,2,0,9.5,7,8,5,2,10
1,6,37,38,2,5,4,1,5,5,1,0.035714286,10,0,2,0,0,8
1,5,44,14,2,6,1,2,0,5,1,0,10,2,3,0,0,5
1,9,42,36,2,4,2,2,0,5,0.428571429,0.214285714,9.5,0,1,4,6,9
1,6,45,13,1,3,4,2,5,5,1,0.107142857,8.5,1,2,1,2,6
1,9,33,16,2,5,4,1,5,5,0.214285714,1,9,1,4,0,1,3
1,6,36,8,2,4,2,2,5,5,1,0.214285714,9.5,2,2,3,2,10
1,8,39,27,2,4,2,1,5,5,0.214285714,0.5,9,1,3,0,1,6
1,9,37,28,2,4,4,1,5,5,0.428571429,0.5,8.5,2,3,2,1,5
1,7,35,13,2,4,3,1,0,5,0.428571429,0.428571429,10,5,8,7,4,2
1,4,33,25,2,5,4,2,5,5,2,0.214285714,11,2,5,1,2,3
1,4,46,11,2,3,2,1,5,5,0.5,0,10,2,2,7,7,9
1,7,40,42,2,5,3,2,5,5,1,0.214285714,9,4,6,0,3,5
1,9,43,23,2,4,4,2,5,5,0.071428571,0.214285714,9,3,7,3,2,5
1,4,26,13,2,6,4,1,5,5,2,0.214285714,10.5,1,4,0,0,1
1,8,46,16,2,4,3,2,0,5,1,0.214285714,8.5,1,3,2,3,6
1,5,39,3,2,4,2,2,5,0,0.5,0,10.5,3,4,0,5,0
1,9,46,23,2,2,2,2,5,5,0.214285714,0.214285714,9,4,5,4,5,4
1,9,41,1,2,4,4,2,5,5,0.428571429,0.214285714,9.5,5,4,0,3,4
1,6,41,1,2,5,4,1,5,5,5,0.5,9.5,2,2,3,2,9
1,5,41,11,2,4,3,1,5,5,0.5,0.107142857,8,2,7,3,1,4
1,9,35,21,2,4,3,2,5,5,0.035714286,0.214285714,9,1,4,0,2,6
1,4,29,27,2,3,3,2,5,5,0.5,0,8.5,7,5,5,5,5
1,9,39,14,2,3,4,2,5,5,0.214285714,0.214285714,9,2,4,0,0,2
